Hotel_ID,X,Y,HNAME,ADDRESS,PHONE,NUMROOMS,WEB_URL,,,ZIPCODE
156,-76.92659673,38.88599075,,5213 B STREET SE,202-670-6332,4,http://www.malolobandb.com/,,,20019
157,-77.01962877,38.88564083,HOLIDAY INN CAPITOL,550 C STREET SW,202-479-4000,532,http://www.hicapitoldc.com/,,,20024
158,-77.02436774,38.88390907,HILTON WASHINGTON DC NATIONAL MALL,480 L'ENFANT PLAZA SW,202-871-8345,372,http://hiltondcnationalmall.com/,,,20024
159,-77.01593267,38.88362145,"RESIDENCE INN WASHINGTON, DC/CAPITOL",333 E STREET SW,202-484-8280,233,http://www.marriott.com/hotels/travel/wascp-residence-inn-washington-dc-capitol/,,,20024
160,-77.03045116,38.88360956,MANDARIN ORIENTAL,1330 MARYLAND AVENUE SW,202-554-8588,400,https://www.mandarinoriental.com/washington/national-mall/luxury-hotel,,,20024
161,-76.99211434,38.88337256,DUO NOMAD,1010 PENNSYLVANIA AVENUE SE,202-629-3495,,https://www.duonomad.com,,,20003
162,-77.01796586,38.88306687,HYATT PLACE WASHINGTON DC/NATIONAL MALL,400 E STREET SW,202-803-6110,214,https://dcnationalmall.place.hyatt.com/en/hotel/home.html,,,20024
163,-77.02504951,38.87941942,INTERCONTINENTAL WASHINGTON D.C. - THE WHARF,801 WHARF STREET SW,202-800-0844,,https://wharfintercontinentaldc.com,,,20024
164,-77.00973245,38.8790328,CAPITOL SKYLINE HOTEL,10 I STREET SW,202-488-7500,203,http://www.capitolskyline.com/,,,20024
165,-77.02343424,38.87853765,CANOPY WASHINGTON DC THE WHARF,975 7TH STREET SW,202-488-2500,,http://canopy3.hilton.com/en/hotels/district-of-columbia/canopy-by-hilton-washington-dc-the-wharf-DCACUPY/index.html,,,20024
166,-77.00396317,38.8777117,COURTYARD WASHINGTON CAPITOL HILL/NAVY YARD,140 L STREET SE,202-479-0027,204,http://www.marriott.com/hotels/travel/wasny-courtyard-washington-capitol-hill-navy-yard/,,,20003
167,-77.00726866,38.87668053,HOMEWOOD SUITES WASHINGTON DC CAPITOL - NAVY YARD,50 M STREET SE,202-899-2800,195,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-capitol-navy-yard-WASCAHW/index.html,,,20003
168,-77.00620501,38.87593001,RESIDENCE INN WASHINGTON CAPITOL HILL/NAVY YARD,1233 1ST STREET SE,202-770-2800,,https://www.marriott.com/hotels/travel/wasxr-residence-inn-washington-capitol-hill-navy-yard/,,,20003
169,-77.00619075,38.87499467,HAMPTON INN & SUITES WASHINGTON DC-NAVY YARD,1265 1ST STREET SE,202-800-1000,,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-and-suites-washington-dc-navy-yard-WASNYHX/index.html,,,20003
